"DataSpider Servista のヘルプは、製品をインストールしないと確認できないでしょうか。","Q000","4"
"以下のエラーが発生して、Thunderbus Agent から Thunderbus Server に接続できません。確認するポイントを教えてください。javax.websocket.DeploymentException: Connection to 'wss://<ホスト名>:8443/ws/agent1/controll' failed. ","Q001","4"
"ひとつのトリガーにつき設定できるスクリプトはひとつだけですか？","Q002","4"
"Thunderbusのエージェントマネージャーで設定する表示名、ID には何文字まで登録できますか？また使用できない文字などがあれば教えてください。","Q003","4"
"JDBC アダプタや ODBC アダプタと、Oracle アダプタのように製品名がつくアダプタとの違いを教えてください。","Q004","4"
"Thunderbus Server をバージョンアップした場合、Thunderbus Agent のバージョンアップも必要ですか？","Q005","4"
"コンポーネントプールとは何ですか？","Q006","4"
"DataSpiderServer、DataSpider Studio が使用するポート番号をインストール後に変更をするにはどうすればよいですか?","Q007","4"
"作成したスクリプトを使いまわして処理を作成することはできますか？","Q008","4"
"ロジックアイコンの組み合わせを使いまわして処理を作成することはできますか？","Q009","4"
"本番環境、開発環境とで、Clientから接続するサーバを変更したい場合はどのように設定したらよいですか？","Q010","4"
"DataSpiderServer と、クライアントツール（DataSpider Studio や CLI Console など）で違うバージョンを使用することは可能ですか？","Q011","4"
"移行元と移行先でライセンスの内容が違うサーバ間で移行されたスクリプトの動作はどうなるか?","Q012","4"
"エンコードの種類を変更できるアダプタがありますが、対応している文字コードはリストに表示されているものだけですか？","Q013","4"
"プロジェクトのエクスポートの際、最新の履歴（バージョン）のみ　エクスポートすることはできますか？","Q014","4"
"サーバログが格納される｢server.log｣ファイル のファイルサイズの上限、及びバックアップ数を変更することはできますか？","Q015","4"
"スクリプト実行の際に独自のログを出力することはできますか？","Q016","4"
"スクリプトの実行ログはどこに出力されるのですか？","Q017","4"
"スクリプトのロックの機能はありますか？","Q018","4"
"サーバ移行機能でサーバ情報の移行をした場合、移行先のサーバの基本設定(IPアドレスなど)を設定しなおす必要がありますか？","Q019","4"
"DataSpiderをJavaのソースコード生成ツールとして利用することは可能ですか？","Q020","4"
"サービスに登録したプロジェクトの一覧を確認することはできますか？","Q021","4"
"親子スクリプトを実行した場合、実行ログはどのように出力されますか？","Q022","4"
"スクリプトのコンパイルはどのようなタイミングで実行されるか教えてください","Q023","4"
"｢Studio｣画面のタイトルバーにIPアドレスが表示されていますがどこのIPアドレスが表示されているのですか？","Q024","4"
"スクリプトキャンバスのグリッドは各スクリプトごとに設定するのですか？","Q025","4"
"｢外部アプリケーション起動｣で参照ボタンを押したときに表示されるディレクトリはサーバ側のディレクトリが表示されるのでしょうか？","Q026","4"
"DataSpiderServista の[ユーザID]や[パスワード]をインストール後に変更できますか？","Q027","4"
"インストールした後からでも、リポジトリDBを使用するように変更できますか？","Q028","4"
"実行できるSQL文に何か制約はありますか？","Q029","4"
"DataSpiderがインストールされているサーバ以外のサーバのディレクトリ、ファイルも連携対象にできますか？","Q030","4"
"マウントできないディレクトリはありますか？","Q031","4"
"更新系SQL実行処理にて3件中1件がエラーだった場合、エラーが発生しなかったレコードは更新されていますか？","Q032","4"
"[更新系SQL実行処理]で、エラーになったレコードをロールバックし、エラーが発生しなかったレコードだけをコミットすることは可能ですか？","Q033","4"
"データベースにカラムを追加した場合、Mapperで追加したカラムをデータ変換などに使っていないときでも、再度設定をしなおす必要はありますか？","Q034","4"
"読み取りパスワードが設定されたMS Excel ファイルを読むことはできますか？","Q035","4"
"マージマッパーで[文字列]-[演算]-[連結]アイコンを使用したところ、レスポンスが遅くなりました。対応方法はありますか？","Q036","4"
"入力データに半角文字が含まれているかどうか判別する方法はありますか？","Q037","4"
"DataSpider Serverは、Windowsのレジストリを使用していますか？使用している場合、どのような目的で使用していますか？","Q038","4"
"運用監視ソフト、Windowsのタスクで連携処理を管理したいのですが、バッチファイルからDataSpiderのスクリプトを直接起動する方法はありますか？","Q039","4"
"ファイルトリガーにて、有効期間（時間）を設定できますか？","Q040","4"
"「テーブル読み取り処理」の[テーブル名]に表示されていないテーブルがありました。[テーブル名]に表示されるテーブル名の数に上限はありますか？","Q041","4"
" Oracleなどのデータベースを使用した処理を作成する場合、必要なJDBCドライバは、サーバだけではなく、開発用クライアントすべてに登録する必要がありますか？","Q042","4"
"[検索系SQL実行]や[更新系SQL実行]を作成するときに、テーブル名とカラム名を動的に切り替えることはできますか？","Q043","4"
"商品の番号など、キーを元に条件にあったデータだけを抽出できますか？","Q044","4"
"1レコードの項目間の演算ではなく、たとえば全レコードの注文個数などを集計することはできますか？","Q045","4"
"仕様書を出力する機能はありますか","Q046","4"
"データベースのデータ型で対応していないものはありますか？","Q047","4"
"連番の採番をする方法を教えて下さい。","Q048","4"
"「外部アプリケーションの起動」アイコンで、外部の処理を実行するように設定した場合、指定した処理の戻り値を受け取ってから次の処理に移るようなスクリプトは作成できますか","Q049","4"
"ファイアウォールを挟んだリモート環境で DataSpider Studio を使って開発したいのですが、どのような環境を用意したら、リモートでメンテナンスできるでしょうか？","Q050","4"
"データベースより取得した項目名をそのままCSVの項目名にすることはできますか？","Q051","4"
"Excelアダプタの「書き込み」アイコンで書き込みを行う書き込み開始位置の指定はできますか？","Q052","4"
"外部アプリケーション起動処理で、アプリケーションを実行するユーザーを指定する方法を教えてください。","Q053","4"
"ExcelアダプタはUNIX、Linuxでも動作可能ですか？また、DataSpiderのサーバにOfficeがなくても動作可能ですか？","Q054","4"
"Mapper項目の自動マッピング機能はないのですか？","Q055","4"
"Excelの「書き込み」処理で「位置｣を動的に変更することはできますか？","Q056","4"
"「プロジェクト仕様書」のレイアウトは変更することは可能ですか？","Q057","4"
"開発したスクリプトを実行する場合は、DataSpider ServerとDataSpiderStudioは、両方立ち上げておかなければいけないのですか？","Q058","4"
"グローバルリソースなどにアクセス権限の設定はできますか","Q059","4"
"リポジトリDBが障害などで停止して再起動した場合、 DataSpiderServer も再起動した方が良いですか？","Q060","4"
"リポジトリDB有りでの運用の場合、リポジトリDBを起動停止の順番を教えてください。","Q061","4"
"開発用クライアントと実行用クライアントの違いはなんですか？","Q062","4"
"「-」、「～」、「∥」、「－」、「￠」、「￡」、「￢」を、エンコードを「Windows-31J」 「Shift-JIS」で指定して出力したときに「?」に文字化けしてしまいました。 対応策はありますか？","Q063","4"
"CLIConsoleでkillコマンドを実行しても、スクリプトの実行が中断されません。 中断されるタイミングを教えてください。","Q064","4"
"仮想環境（VMware、Virtual PCなど）上でのDataSpiderの利用はサポート対象でしょうか？","Q065","4"
"サーバ移行はバージョンの違う DataSpiderServer 同士での移行に利用できますか？","Q066","4"
"サーバ移行では、異なる OS 間の移行に対応していますか？例えば Windows 版 DataSpider から エクスポート して Linux 版 DataSpider に インポートできますか？","Q067","4"
"サーバ移行で移行される情報は何ですか？","Q068","4"
"Mapperで、XML型データソースにスキーマをセットする際、[スキーマファイルから読み込み]でDOCTYPE宣言があるDTDファイルを読み込んだところ、java.lang.IllegalStateException: you should check by canParse* method というエラーになりました。DataSpiderでDTDファイルを使用する場合の制限事項なのでしょうか。","Q069","4"
"[外部アプリケーション起動]アイコンで設定したアプリケーションが起動しません。起動するアプリケーションに制限はありますか。","Q070","4"
"Salesforceアダプタでは、Force.com で作成したテーブルやデータへアクセスすることはできますか？","Q071","4"
"StudioがインストールされていないマシンでもWebブラウザを使用してDataSpiderで設定した内容を確認することができますか？","Q072","4"
"DataSpider のアダプタで、Lotus Notes メールの送受信はできますか ?また、可能な場合、どのアダプタが必要でしょうか?","Q073","4"
"文字列に含まれる改行コードを別の文字列に置換するにはどうすればいいでしょうか？","Q074","4"
"DataSpiderから出力される$DATASPIDER_HOME/server/logs/下のロールアップ設定を変更することができますか？","Q075","4"
"Oracle RAC環境に接続することは可能ですか？","Q076","4"
"パラレルストリーミング処理を適用していない既存のスクリプトを、パラレルストリーミング処理に変更したい場合、どのように設定すれば よいのでしょうか。","Q077","4"
"Windowsのネットワークディレクトリをマウント設定しようとすると、以下のエラーが発生してマウント設定が追加できません。java.io.FileNotFoundException原因と対処方法を教えてください。","Q078","4"
"メールアダプタを使用した送受信で以下のエラーが発生しました。原因と回避策を教えてください。","Q079","4"
"DataSpiderServer のサービスを停止する場合、実行中のスクリプトがあるか確認したいのですが方法はありますか。","Q080","4"
